time,B7116C0A-A6AE-48E3-AA63-81CFDD936EFA
2014-12-12 12:06:19,0
2014-12-12 12:06:20,2
2014-12-12 12:06:21,2
2014-12-12 12:06:22,2
2014-12-12 12:06:23,2
2014-12-12 12:06:24,2
2014-12-12 12:06:25,2
2014-12-12 12:06:26,2
2014-12-12 12:06:27,2
2014-12-12 12:06:28,2
2014-12-12 12:06:29,2
2014-12-12 12:06:30,2
2014-12-12 12:06:31,2
2014-12-12 12:06:32,2
2014-12-12 12:06:33,2
2014-12-12 12:06:34,2
2014-12-12 12:06:35,2
2014-12-12 12:06:36,2
2014-12-12 12:06:37,2
2014-12-12 12:06:38,2
2014-12-12 12:06:39,2
2014-12-12 12:06:40,2
2014-12-12 12:06:41,2
2014-12-12 12:06:42,2
2014-12-12 12:06:43,2
2014-12-12 12:06:44,2
2014-12-12 12:06:45,2
2014-12-12 12:06:46,2
2014-12-12 12:06:47,2
2014-12-12 12:06:48,2
2014-12-12 12:06:49,2
2014-12-12 12:06:50,2
2014-12-12 12:06:51,2
2014-12-12 12:06:52,2
2014-12-12 12:06:53,2
2014-12-12 12:06:54,2
2014-12-12 12:06:55,2
2014-12-12 12:06:56,2
2014-12-12 12:06:57,2
2014-12-12 12:06:58,2
2014-12-12 12:06:59,2
2014-12-12 12:07:00,2
2014-12-12 12:07:01,2
2014-12-12 12:07:02,2
2014-12-12 12:07:03,2
2014-12-12 12:07:04,2
2014-12-12 12:07:05,2
2014-12-12 12:07:06,2
2014-12-12 12:07:07,2
2014-12-12 12:07:08,2
2014-12-12 12:07:09,2
2014-12-12 12:07:10,2
2014-12-12 12:07:11,2
2014-12-12 12:07:12,2
2014-12-12 12:07:13,2
2014-12-12 12:07:14,2
2014-12-12 12:07:15,2
2014-12-12 12:07:16,2
2014-12-12 12:07:17,2
2014-12-12 12:07:18,2
2014-12-12 12:07:19,2
2014-12-12 12:07:20,2
2014-12-12 12:07:21,0
2014-12-12 12:07:22,0
2014-12-12 12:07:23,0
2014-12-12 12:07:24,0
2014-12-12 12:07:25,0
2014-12-12 12:07:26,0
2014-12-12 12:07:27,0
2014-12-12 12:07:28,0
2014-12-12 12:07:29,0
2014-12-12 12:07:30,0
2014-12-12 12:07:31,0
2014-12-12 12:07:32,0
2014-12-12 12:07:33,0
2014-12-12 12:07:34,0
2014-12-12 12:07:35,0
2014-12-12 12:07:36,0
2014-12-12 12:07:37,0
2014-12-12 12:07:38,0
2014-12-12 12:07:39,0
2014-12-12 12:07:40,8
2014-12-12 12:07:41,8
2014-12-12 12:07:42,8
2014-12-12 12:07:43,8
2014-12-12 12:07:44,8
2014-12-12 12:07:45,8
2014-12-12 12:07:46,8
2014-12-12 12:07:47,8
2014-12-12 12:07:48,8
2014-12-12 12:07:49,8
2014-12-12 12:07:50,8
2014-12-12 12:07:51,8
2014-12-12 12:07:52,8
2014-12-12 12:07:53,8
2014-12-12 12:07:54,8
2014-12-12 12:07:55,8
2014-12-12 12:07:56,8
2014-12-12 12:07:57,8
2014-12-12 12:07:58,8
2014-12-12 12:07:59,8
2014-12-12 12:08:00,8
2014-12-12 12:08:01,8
2014-12-12 12:08:02,8
2014-12-12 12:08:03,8
2014-12-12 12:08:04,8
2014-12-12 12:08:05,8
2014-12-12 12:08:06,8
2014-12-12 12:08:07,8
2014-12-12 12:08:08,8
2014-12-12 12:08:09,8
2014-12-12 12:08:10,8
2014-12-12 12:08:11,8
2014-12-12 12:08:12,8
2014-12-12 12:08:13,8
2014-12-12 12:08:14,8
2014-12-12 12:08:15,8
2014-12-12 12:08:16,8
2014-12-12 12:08:17,8
2014-12-12 12:08:18,8
2014-12-12 12:08:19,8
2014-12-12 12:08:20,8
2014-12-12 12:08:21,8
2014-12-12 12:08:22,8
2014-12-12 12:08:23,8
2014-12-12 12:08:24,8
2014-12-12 12:08:25,8
2014-12-12 12:08:26,8
2014-12-12 12:08:27,8
2014-12-12 12:08:28,8
2014-12-12 12:08:29,8
2014-12-12 12:08:30,8
2014-12-12 12:08:31,8
2014-12-12 12:08:32,8
2014-12-12 12:08:33,8
2014-12-12 12:08:34,8
2014-12-12 12:08:35,8
2014-12-12 12:08:36,8
2014-12-12 12:08:37,8
2014-12-12 12:08:38,8
2014-12-12 12:08:39,3
2014-12-12 12:08:40,3
2014-12-12 12:08:41,4
2014-12-12 12:08:42,4
2014-12-12 12:08:43,0
2014-12-12 12:08:44,0
2014-12-12 12:08:45,0
2014-12-12 12:08:46,0
2014-12-12 12:08:47,0
2014-12-12 12:08:48,0
2014-12-12 12:08:49,0
2014-12-12 12:08:50,0
2014-12-12 12:08:51,0
2014-12-12 12:08:52,0
2014-12-12 12:08:53,0
2014-12-12 12:08:54,0
2014-12-12 12:08:55,0
2014-12-12 12:08:56,0
2014-12-12 12:08:57,0
2014-12-12 12:08:58,0
2014-12-12 12:08:59,0
2014-12-12 12:09:00,3
2014-12-12 12:09:01,3
2014-12-12 12:09:02,3
2014-12-12 12:09:03,3
2014-12-12 12:09:04,3
2014-12-12 12:09:05,3
2014-12-12 12:09:06,3
2014-12-12 12:09:07,3
2014-12-12 12:09:08,3
2014-12-12 12:09:09,3
2014-12-12 12:09:10,3
2014-12-12 12:09:11,3
2014-12-12 12:09:12,3
2014-12-12 12:09:13,3
2014-12-12 12:09:14,3
2014-12-12 12:09:15,3
2014-12-12 12:09:16,3
2014-12-12 12:09:17,3
2014-12-12 12:09:18,3
2014-12-12 12:09:19,3
2014-12-12 12:09:20,3
2014-12-12 12:09:21,3
2014-12-12 12:09:22,3
2014-12-12 12:09:23,3
2014-12-12 12:09:24,3
2014-12-12 12:09:25,3
2014-12-12 12:09:26,3
2014-12-12 12:09:27,3
2014-12-12 12:09:28,3
2014-12-12 12:09:29,3
2014-12-12 12:09:30,3
2014-12-12 12:09:31,3
2014-12-12 12:09:32,3
2014-12-12 12:09:33,3
2014-12-12 12:09:34,3
2014-12-12 12:09:35,3
2014-12-12 12:09:36,3
2014-12-12 12:09:37,3
2014-12-12 12:09:38,3
2014-12-12 12:09:39,3
2014-12-12 12:09:40,3
2014-12-12 12:09:41,3
2014-12-12 12:09:42,3
2014-12-12 12:09:43,3
2014-12-12 12:09:44,3
2014-12-12 12:09:45,3
2014-12-12 12:09:46,3
2014-12-12 12:09:47,3
2014-12-12 12:09:48,3
2014-12-12 12:09:49,3
2014-12-12 12:09:50,3
2014-12-12 12:09:51,3
2014-12-12 12:09:52,3
2014-12-12 12:09:53,3
2014-12-12 12:09:54,3
2014-12-12 12:09:55,3
2014-12-12 12:09:56,3
2014-12-12 12:09:57,3
2014-12-12 12:09:58,3
2014-12-12 12:09:59,3
2014-12-12 12:10:00,4
2014-12-12 12:10:01,3
2014-12-12 12:10:02,8
2014-12-12 12:10:03,2
2014-12-12 12:10:04,0
2014-12-12 12:10:05,0
2014-12-12 12:10:06,0
2014-12-12 12:10:07,0
2014-12-12 12:10:08,0
2014-12-12 12:10:09,0
2014-12-12 12:10:10,0
2014-12-12 12:10:11,0
2014-12-12 12:10:12,0
2014-12-12 12:10:13,0
2014-12-12 12:10:14,0
2014-12-12 12:10:15,0
2014-12-12 12:10:16,0
2014-12-12 12:10:17,0
2014-12-12 12:10:18,0
2014-12-12 12:10:19,0
2014-12-12 12:10:20,7
2014-12-12 12:10:21,7
2014-12-12 12:10:22,7
2014-12-12 12:10:23,7
2014-12-12 12:10:24,7
2014-12-12 12:10:25,7
2014-12-12 12:10:26,7
2014-12-12 12:10:27,7
2014-12-12 12:10:28,7
2014-12-12 12:10:29,7
2014-12-12 12:10:30,7
2014-12-12 12:10:31,7
2014-12-12 12:10:32,7
2014-12-12 12:10:33,7
2014-12-12 12:10:34,7
2014-12-12 12:10:35,7
2014-12-12 12:10:36,7
2014-12-12 12:10:37,7
2014-12-12 12:10:38,7
2014-12-12 12:10:39,7
2014-12-12 12:10:40,7
2014-12-12 12:10:41,7
2014-12-12 12:10:42,7
2014-12-12 12:10:43,7
2014-12-12 12:10:44,7
2014-12-12 12:10:45,7
2014-12-12 12:10:46,7
2014-12-12 12:10:47,7
2014-12-12 12:10:48,7
2014-12-12 12:10:49,7
2014-12-12 12:10:50,7
2014-12-12 12:10:51,7
2014-12-12 12:10:52,7
2014-12-12 12:10:53,7
2014-12-12 12:10:54,7
2014-12-12 12:10:55,7
2014-12-12 12:10:56,7
2014-12-12 12:10:57,7
2014-12-12 12:10:58,7
2014-12-12 12:10:59,7
2014-12-12 12:11:00,7
2014-12-12 12:11:01,7
2014-12-12 12:11:02,7
2014-12-12 12:11:03,7
2014-12-12 12:11:04,7
2014-12-12 12:11:05,7
2014-12-12 12:11:06,7
2014-12-12 12:11:07,7
2014-12-12 12:11:08,7
2014-12-12 12:11:09,7
2014-12-12 12:11:10,7
2014-12-12 12:11:11,7
2014-12-12 12:11:12,7
2014-12-12 12:11:13,7
2014-12-12 12:11:14,7
2014-12-12 12:11:15,7
2014-12-12 12:11:16,7
2014-12-12 12:11:17,7
2014-12-12 12:11:18,7
2014-12-12 12:11:19,7
2014-12-12 12:11:20,7
2014-12-12 12:11:21,7
2014-12-12 12:11:22,7
2014-12-12 12:11:23,8
2014-12-12 12:11:24,0
2014-12-12 12:11:25,0
2014-12-12 12:11:26,0
2014-12-12 12:11:27,0
2014-12-12 12:11:28,0
2014-12-12 12:11:29,0
2014-12-12 12:11:30,0
2014-12-12 12:11:31,0
2014-12-12 12:11:32,0
2014-12-12 12:11:33,0
2014-12-12 12:11:34,0
2014-12-12 12:11:35,0
2014-12-12 12:11:36,0
2014-12-12 12:11:37,0
2014-12-12 12:11:38,0
2014-12-12 12:11:39,1
2014-12-12 12:11:40,1
2014-12-12 12:11:41,1
2014-12-12 12:11:42,1
2014-12-12 12:11:43,1
2014-12-12 12:11:44,1
2014-12-12 12:11:45,1
2014-12-12 12:11:46,1
2014-12-12 12:11:47,1
2014-12-12 12:11:48,1
2014-12-12 12:11:49,1
2014-12-12 12:11:50,1
2014-12-12 12:11:51,1
2014-12-12 12:11:52,1
2014-12-12 12:11:53,1
2014-12-12 12:11:54,1
2014-12-12 12:11:55,1
2014-12-12 12:11:56,1
2014-12-12 12:11:57,1
2014-12-12 12:11:58,1
2014-12-12 12:11:59,1
2014-12-12 12:12:00,1
2014-12-12 12:12:01,1
2014-12-12 12:12:02,1
2014-12-12 12:12:03,1
2014-12-12 12:12:04,1
2014-12-12 12:12:05,1
2014-12-12 12:12:06,1
2014-12-12 12:12:07,1
2014-12-12 12:12:08,1
2014-12-12 12:12:09,1
2014-12-12 12:12:10,1
2014-12-12 12:12:11,1
2014-12-12 12:12:12,1
2014-12-12 12:12:13,1
2014-12-12 12:12:14,1
2014-12-12 12:12:15,1
2014-12-12 12:12:16,1
2014-12-12 12:12:17,1
2014-12-12 12:12:18,1
2014-12-12 12:12:19,1
2014-12-12 12:12:20,1
2014-12-12 12:12:21,1
2014-12-12 12:12:22,1
2014-12-12 12:12:23,1
2014-12-12 12:12:24,1
2014-12-12 12:12:25,1
2014-12-12 12:12:26,1
2014-12-12 12:12:27,1
2014-12-12 12:12:28,1
2014-12-12 12:12:29,1
2014-12-12 12:12:30,1
2014-12-12 12:12:31,1
2014-12-12 12:12:32,1
2014-12-12 12:12:33,1
2014-12-12 12:12:34,1
2014-12-12 12:12:35,1
2014-12-12 12:12:36,1
2014-12-12 12:12:37,1
2014-12-12 12:12:38,1
2014-12-12 12:12:39,1
2014-12-12 12:12:40,1
2014-12-12 12:12:41,1
2014-12-12 12:12:42,1
2014-12-12 12:12:43,2
2014-12-12 12:12:44,0
2014-12-12 12:12:45,0
2014-12-12 12:12:46,0
2014-12-12 12:12:47,0
2014-12-12 12:12:48,0
2014-12-12 12:12:49,0
2014-12-12 12:12:50,0
2014-12-12 12:12:51,0
2014-12-12 12:12:52,0
2014-12-12 12:12:53,0
2014-12-12 12:12:54,0
2014-12-12 12:12:55,0
2014-12-12 12:12:56,0
2014-12-12 12:12:57,0
2014-12-12 12:12:58,0
2014-12-12 12:12:59,6
2014-12-12 12:13:00,6
2014-12-12 12:13:01,6
2014-12-12 12:13:02,6
2014-12-12 12:13:03,6
2014-12-12 12:13:04,6
2014-12-12 12:13:05,6
2014-12-12 12:13:06,6
2014-12-12 12:13:07,6
2014-12-12 12:13:08,6
2014-12-12 12:13:09,6
2014-12-12 12:13:10,6
2014-12-12 12:13:11,6
2014-12-12 12:13:12,6
2014-12-12 12:13:13,6
2014-12-12 12:13:14,6
2014-12-12 12:13:15,6
2014-12-12 12:13:16,6
2014-12-12 12:13:17,6
2014-12-12 12:13:18,6
2014-12-12 12:13:19,6
2014-12-12 12:13:20,6
2014-12-12 12:13:21,6
2014-12-12 12:13:22,6
2014-12-12 12:13:23,6
2014-12-12 12:13:24,6
2014-12-12 12:13:25,6
2014-12-12 12:13:26,6
2014-12-12 12:13:27,6
2014-12-12 12:13:28,6
2014-12-12 12:13:29,6
2014-12-12 12:13:30,6
2014-12-12 12:13:31,6
2014-12-12 12:13:32,6
2014-12-12 12:13:33,6
2014-12-12 12:13:34,6
2014-12-12 12:13:35,6
2014-12-12 12:13:36,6
2014-12-12 12:13:37,6
2014-12-12 12:13:38,6
2014-12-12 12:13:39,6
2014-12-12 12:13:40,6
2014-12-12 12:13:41,6
2014-12-12 12:13:42,6
2014-12-12 12:13:43,6
2014-12-12 12:13:44,6
2014-12-12 12:13:45,6
2014-12-12 12:13:46,6
2014-12-12 12:13:47,6
2014-12-12 12:13:48,6
2014-12-12 12:13:49,6
2014-12-12 12:13:50,6
2014-12-12 12:13:51,6
2014-12-12 12:13:52,6
2014-12-12 12:13:53,6
2014-12-12 12:13:54,6
2014-12-12 12:13:55,6
2014-12-12 12:13:56,6
2014-12-12 12:13:57,6
2014-12-12 12:13:58,6
2014-12-12 12:13:59,6
2014-12-12 12:14:00,6
2014-12-12 12:14:01,4
2014-12-12 12:14:02,4
2014-12-12 12:14:03,2
2014-12-12 12:14:04,0
2014-12-12 12:14:05,0
2014-12-12 12:14:06,0
2014-12-12 12:14:07,0
2014-12-12 12:14:08,0
2014-12-12 12:14:09,0
2014-12-12 12:14:10,0
2014-12-12 12:14:11,0
2014-12-12 12:14:12,0
2014-12-12 12:14:13,0
2014-12-12 12:14:14,0
2014-12-12 12:14:15,0
2014-12-12 12:14:16,0
2014-12-12 12:14:17,0
2014-12-12 12:14:18,0
2014-12-12 12:14:19,0
2014-12-12 12:14:20,5
2014-12-12 12:14:21,5
2014-12-12 12:14:22,5
2014-12-12 12:14:23,5
2014-12-12 12:14:24,5
2014-12-12 12:14:25,5
2014-12-12 12:14:26,5
2014-12-12 12:14:27,5
2014-12-12 12:14:28,5
2014-12-12 12:14:29,5
2014-12-12 12:14:30,5
2014-12-12 12:14:31,5
2014-12-12 12:14:32,5
2014-12-12 12:14:33,5
2014-12-12 12:14:34,5
2014-12-12 12:14:35,5
2014-12-12 12:14:36,5
2014-12-12 12:14:37,5
2014-12-12 12:14:38,5
2014-12-12 12:14:39,5
2014-12-12 12:14:40,5
2014-12-12 12:14:41,5
2014-12-12 12:14:42,5
2014-12-12 12:14:43,5
2014-12-12 12:14:44,5
2014-12-12 12:14:45,5
2014-12-12 12:14:46,5
2014-12-12 12:14:47,5
2014-12-12 12:14:48,5
2014-12-12 12:14:49,5
2014-12-12 12:14:50,5
2014-12-12 12:14:51,5
2014-12-12 12:14:52,5
2014-12-12 12:14:53,5
2014-12-12 12:14:54,5
2014-12-12 12:14:55,5
2014-12-12 12:14:56,5
2014-12-12 12:14:57,5
2014-12-12 12:14:58,5
2014-12-12 12:14:59,5
2014-12-12 12:15:00,5
2014-12-12 12:15:01,5
2014-12-12 12:15:02,5
2014-12-12 12:15:03,5
2014-12-12 12:15:04,5
2014-12-12 12:15:05,5
2014-12-12 12:15:06,5
2014-12-12 12:15:07,5
2014-12-12 12:15:08,5
2014-12-12 12:15:09,5
2014-12-12 12:15:10,5
2014-12-12 12:15:11,5
2014-12-12 12:15:12,5
2014-12-12 12:15:13,5
2014-12-12 12:15:14,5
2014-12-12 12:15:15,5
2014-12-12 12:15:16,5
2014-12-12 12:15:17,5
2014-12-12 12:15:18,5
2014-12-12 12:15:19,5
2014-12-12 12:15:20,5
2014-12-12 12:15:21,5
2014-12-12 12:15:22,5
2014-12-12 12:15:23,5
2014-12-12 12:15:24,0
2014-12-12 12:15:25,0
2014-12-12 12:15:26,0
2014-12-12 12:15:27,0
2014-12-12 12:15:28,0
2014-12-12 12:15:29,0
2014-12-12 12:15:30,0
2014-12-12 12:15:31,0
2014-12-12 12:15:32,0
2014-12-12 12:15:33,0
2014-12-12 12:15:34,0
2014-12-12 12:15:35,0
2014-12-12 12:15:36,0
2014-12-12 12:15:37,0
2014-12-12 12:15:38,0
2014-12-12 12:15:39,0
2014-12-12 12:15:40,0
2014-12-12 12:15:41,0
2014-12-12 12:15:42,0
2014-12-12 12:15:43,0
2014-12-12 12:15:44,0
2014-12-12 12:15:45,0
2014-12-12 12:15:46,0
2014-12-12 12:15:47,0
2014-12-12 12:15:48,0
2014-12-12 12:15:49,0
2014-12-12 12:15:50,0
2014-12-12 12:15:51,0
2014-12-12 12:15:52,0
2014-12-12 12:15:53,0
2014-12-12 12:15:54,0
2014-12-12 12:15:55,0
2014-12-12 12:15:56,0
2014-12-12 12:15:57,0
2014-12-12 12:15:58,0
2014-12-12 12:15:59,0
2014-12-12 12:16:00,0
2014-12-12 12:16:01,0
2014-12-12 12:16:02,0
2014-12-12 12:16:03,0
2014-12-12 12:16:04,0
2014-12-12 12:16:05,0
2014-12-12 12:16:06,0
2014-12-12 12:16:07,0
2014-12-12 12:16:08,0
2014-12-12 12:16:09,0
2014-12-12 12:16:10,0
2014-12-12 12:16:11,0
2014-12-12 12:16:12,0
2014-12-12 12:16:13,0
2014-12-12 12:16:14,0
2014-12-12 12:16:15,0
2014-12-12 12:16:16,0
2014-12-12 12:16:17,0
2014-12-12 12:16:18,0
2014-12-12 12:16:19,0
2014-12-12 12:16:20,0
2014-12-12 12:16:21,0
2014-12-12 12:16:22,0
2014-12-12 12:16:23,0
2014-12-12 12:16:24,0
2014-12-12 12:16:25,0
2014-12-12 12:16:26,0
2014-12-12 12:16:27,0
2014-12-12 12:16:28,0
2014-12-12 12:16:29,0
2014-12-12 12:16:30,0
2014-12-12 12:16:31,0
2014-12-12 12:16:32,0
2014-12-12 12:16:33,0
2014-12-12 12:16:34,0
2014-12-12 12:16:35,0
2014-12-12 12:16:36,0
2014-12-12 12:16:37,0
2014-12-12 12:16:38,0
2014-12-12 12:16:39,0
2014-12-12 12:16:40,0
2014-12-12 12:16:41,0
2014-12-12 12:16:42,0
2014-12-12 12:16:43,0
2014-12-12 12:16:44,0
2014-12-12 12:16:45,0
2014-12-12 12:16:46,0
2014-12-12 12:16:47,0
2014-12-12 12:16:48,0
2014-12-12 12:16:49,0
2014-12-12 12:16:50,0
2014-12-12 12:16:51,0
2014-12-12 12:16:52,0
2014-12-12 12:16:53,0
2014-12-12 12:16:54,0
2014-12-12 12:16:55,0
2014-12-12 12:16:56,0
2014-12-12 12:16:57,0
2014-12-12 12:16:58,0
2014-12-12 12:16:59,0
2014-12-12 12:17:00,4
2014-12-12 12:17:01,4
2014-12-12 12:17:02,4
2014-12-12 12:17:03,4
2014-12-12 12:17:04,4
2014-12-12 12:17:05,4
2014-12-12 12:17:06,4
2014-12-12 12:17:07,4
2014-12-12 12:17:08,4
2014-12-12 12:17:09,4
2014-12-12 12:17:10,4
2014-12-12 12:17:11,4
2014-12-12 12:17:12,4
2014-12-12 12:17:13,4
2014-12-12 12:17:14,4
2014-12-12 12:17:15,4
2014-12-12 12:17:16,4
2014-12-12 12:17:17,4
2014-12-12 12:17:18,4
2014-12-12 12:17:19,4
2014-12-12 12:17:20,4
2014-12-12 12:17:21,4
2014-12-12 12:17:22,4
2014-12-12 12:17:23,4
2014-12-12 12:17:24,4
2014-12-12 12:17:25,4
2014-12-12 12:17:26,4
2014-12-12 12:17:27,4
2014-12-12 12:17:28,4
2014-12-12 12:17:29,4
2014-12-12 12:17:30,4
2014-12-12 12:17:31,4
2014-12-12 12:17:32,4
2014-12-12 12:17:33,4
2014-12-12 12:17:34,4
2014-12-12 12:17:35,4
2014-12-12 12:17:36,4
2014-12-12 12:17:37,4
2014-12-12 12:17:38,4
2014-12-12 12:17:39,4
2014-12-12 12:17:40,4
2014-12-12 12:17:41,4
2014-12-12 12:17:42,4
2014-12-12 12:17:43,4
2014-12-12 12:17:44,4
2014-12-12 12:17:45,4
2014-12-12 12:17:46,4
2014-12-12 12:17:47,4
2014-12-12 12:17:48,4
2014-12-12 12:17:49,4
2014-12-12 12:17:50,4
2014-12-12 12:17:51,4
2014-12-12 12:17:52,4
2014-12-12 12:17:53,4
2014-12-12 12:17:54,4
2014-12-12 12:17:55,4
2014-12-12 12:17:56,0
2014-12-12 12:17:57,0
2014-12-12 12:17:58,0
2014-12-12 12:17:59,0
